Altitude:    0 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
2162.59     0.0400    84531.1135    11.7615    11.3157    0.0032    0.0018    1.4760    0.1255    0.0389 
2172.92     0.0397    84511.2868    11.7615    11.3170    0.0032    0.0018    1.4760    0.1255    0.0386 
2181.81     0.0394    84494.3101    11.7615    11.3182    0.0032    0.0018    1.4760    0.1255    0.0383 
2190.72     0.0391    84477.3498    11.7615    11.3194    0.0031    0.0018    1.4760    0.1255    0.0380 
2196.68     0.0390    84466.0520    11.7615    11.3201    0.0031    0.0018    1.4760    0.1255    0.0379 
2199.66     0.0389    84460.4058    11.7615    11.3205    0.0031    0.0018    1.4760    0.1255    0.0378 
2204.14     0.0387    84451.9398    11.7615    11.3211    0.0031    0.0018    1.4760    0.1255    0.0377 
2205.64     0.0387    84449.1187    11.7615    11.3213    0.0031    0.0018    1.4760    0.1255    0.0376 
2208.63     0.0386    84443.4779    11.7615    11.3217    0.0031    0.0018    1.4760    0.1255    0.0375 
2211.63     0.0385    84437.8389    11.7615    11.3220    0.0031    0.0018    1.4760    0.1255    0.0374 
2214.62     0.0384    84432.2017    11.7615    11.3224    0.0031    0.0018    1.4760    0.1255    0.0374 
2219.13     0.0383    84423.7492    11.7615    11.3230    0.0031    0.0018    1.4760    0.1255    0.0372 
2223.64     0.0382    84415.3007    11.7615    11.3236    0.0031    0.0018    1.4760    0.1255    0.0371 
2232.68     0.0379    84398.4159    11.7615    11.3247    0.0031    0.0018    1.4760    0.1255    0.0369 
2237.21     0.0378    84389.9795    11.7615    11.3252    0.0031    0.0018    1.4760    0.1255    0.0367 
2249.33     0.0374    84367.5019    11.7615    11.3267    0.0031    0.0018    1.4760    0.1255    0.0364 
2255.41     0.0373    84356.2738    11.7615    11.3275    0.0031    0.0018    1.4760    0.1255    0.0362 
2264.55     0.0370    84339.4449    11.7615    11.3286    0.0030    0.0018    1.4760    0.1255    0.0360 
2272.19     0.0368    84325.4329    11.7615    11.3295    0.0030    0.0018    1.4760    0.1255    0.0358 
2278.31     0.0366    84314.2312    11.7615    11.3302    0.0030    0.0018    1.4760    0.1255    0.0356 
2282.91     0.0365    84305.8346    11.7615    11.3308    0.0030    0.0018    1.4760    0.1255    0.0355 
2289.06     0.0363    84294.6452    11.7615    11.3315    0.0030    0.0018    1.4760    0.1255    0.0353 
2296.76     0.0361    84280.6683    11.7615    11.3324    0.0030    0.0018    1.4760    0.1255    0.0351 
2302.93     0.0360    84269.4947    11.7615    11.3331    0.0030    0.0018    1.4760    0.1255    0.0349 
2313.77     0.0357    84249.9576    11.7615    11.3343    0.0030    0.0018    1.4760    0.1255    0.0347 
2323.09     0.0354    84233.2284    11.7615    11.3354    0.0030    0.0018    1.4760    0.1255    0.0344 
2330.87     0.0352    84219.2993    11.7615    11.3363    0.0029    0.0018    1.4760    0.1255    0.0342 
2340.24     0.0350    84202.5987    11.7615    11.3373    0.0029    0.0018    1.4760    0.1255    0.0340 
2351.21     0.0347    84183.1343    11.7615    11.3386    0.0029    0.0018    1.4760    0.1255    0.0337 
2360.64     0.0344    84166.4672    11.7615    11.3396    0.0029    0.0018    1.4760    0.1255    0.0334 
2381.18     0.0339    84130.4080    11.7615    11.3418    0.0029    0.0018    1.4760    0.1255    0.0329 
2417.84     0.0330    84066.7867    11.7615    11.3457    0.0028    0.0018    1.4760    0.1255    0.0320 
2472.82     0.0316    83973.1450    11.7615    11.3513    0.0028    0.0018    1.4760    0.1255    0.0307 
2510.54     0.0308    83910.0712    11.7615    11.3550    0.0027    0.0018    1.4760    0.1255    0.0298 
2614.41     0.0284    83741.1195    11.7615    11.3645    0.0026    0.0018    1.4760    0.1255    0.0276 
2664.11     0.0274    83662.6220    11.7615    11.3688    0.0026    0.0018    1.4760    0.1255    0.0265 
2686.61     0.0269    83627.5411    11.7615    11.3706    0.0026    0.0018    1.4760    0.1255    0.0261 
2700.53     0.0266    83605.9857    11.7615    11.3718    0.0025    0.0018    1.4760    0.1255    0.0258 
2709.26     0.0264    83592.5262    11.7615    11.3725    0.0025    0.0018    1.4760    0.1255    0.0256 
2718.01     0.0262    83579.0765    11.7615    11.3732    0.0025    0.0018    1.4760    0.1255    0.0254 
2728.54     0.0260    83562.9496    11.7615    11.3740    0.0025    0.0018    1.4760    0.1255    0.0252 
2737.34     0.0258    83549.5211    11.7615    11.3747    0.0025    0.0018    1.4760    0.1255    0.0250 
2744.39     0.0257    83538.7853    11.7615    11.3753    0.0025    0.0018    1.4760    0.1255    0.0249 
2751.46     0.0256    83528.0557    11.7615    11.3759    0.0025    0.0018    1.4760    0.1255    0.0248 
2760.32     0.0254    83514.6523    11.7615    11.3766    0.0025    0.0018    1.4760    0.1255    0.0246 
2765.64     0.0253    83506.6148    11.7615    11.3770    0.0025    0.0018    1.4760    0.1255    0.0245 
2776.31     0.0251    83490.5503    11.7615    11.3778    0.0025    0.0018    1.4760    0.1255    0.0243 
2781.65     0.0250    83482.5232    11.7615    11.3782    0.0025    0.0018    1.4760    0.1255    0.0242 
2788.79     0.0248    83471.8258    11.7615    11.3787    0.0025    0.0018    1.4760    0.1255    0.0241 
3024.02     0.0285    82976.2734    12.4014    11.9832    0.0021    0.0018    1.3770    0.1110    0.0275 
3029.82     0.0284    82971.2342    12.4014    11.9836    0.0021    0.0018    1.3770    0.1110    0.0274 
3035.62     0.0283    82966.1982    12.4014    11.9840    0.0021    0.0018    1.3770    0.1110    0.0273 
3041.43     0.0282    82961.1655    12.4014    11.9844    0.0021    0.0018    1.3770    0.1110    0.0272 
3045.31     0.0281    82957.8123    12.4014    11.9847    0.0021    0.0018    1.3770    0.1110    0.0272 
3049.19     0.0280    82954.4604    12.4014    11.9850    0.0021    0.0018    1.3770    0.1110    0.0271 
3053.08     0.0279    82951.1100    12.4014    11.9853    0.0021    0.0018    1.3770    0.1110    0.0270 
3058.91     0.0278    82946.0872    12.4014    11.9857    0.0021    0.0018    1.3770    0.1110    0.0269 
3062.81     0.0278    82942.7404    12.4014    11.9859    0.0021    0.0018    1.3770    0.1110    0.0269 
3064.76     0.0277    82941.0675    12.4014    11.9861    0.0021    0.0018    1.3770    0.1110    0.0268 
3072.56     0.0276    82934.3798    12.4014    11.9866    0.0021    0.0018    1.3770    0.1110    0.0267 
3078.43     0.0275    82929.3678    12.4014    11.9870    0.0021    0.0018    1.3770    0.1110    0.0266 
3088.22     0.0273    82921.0216    12.4014    11.9877    0.0021    0.0018    1.3770    0.1110    0.0264 
3094.10     0.0272    82916.0182    12.4014    11.9881    0.0021    0.0018    1.3770    0.1110    0.0263 
3100.00     0.0271    82911.0180    12.4014    11.9885    0.0021    0.0018    1.3770    0.1110    0.0262 
3107.87     0.0270    82904.3562    12.4014    11.9891    0.0021    0.0018    1.3770    0.1110    0.0261 
3115.76     0.0269    82897.7000    12.4014    11.9896    0.0021    0.0018    1.3770    0.1110    0.0260 
3125.64     0.0267    82889.3879    12.4014    11.9903    0.0021    0.0018    1.3770    0.1110    0.0258 
3131.57     0.0266    82884.4049    12.4014    11.9906    0.0020    0.0018    1.3770    0.1110    0.0257 
3139.51     0.0265    82877.7659    12.4014    11.9912    0.0020    0.0018    1.3770    0.1110    0.0256 
3147.45     0.0263    82871.1325    12.4014    11.9917    0.0020    0.0018    1.3770    0.1110    0.0254 
3151.43     0.0263    82867.8180    12.4014    11.9920    0.0020    0.0018    1.3770    0.1110    0.0254 
3159.40     0.0261    82861.1932    12.4014    11.9925    0.0020    0.0018    1.3770    0.1110    0.0252 
3171.38     0.0259    82851.2665    12.4014    11.9933    0.0020    0.0018    1.3770    0.1110    0.0250 
3181.39     0.0258    82843.0040    12.4014    11.9939    0.0020    0.0018    1.3770    0.1110    0.0249 
3191.43     0.0256    82834.7504    12.4014    11.9946    0.0020    0.0018    1.3770    0.1110    0.0247 
3202.66     0.0254    82825.5451    12.4014    11.9953    0.0020    0.0018    1.3770    0.1110    0.0245 
3205.51     0.0254    82823.2099    12.4014    11.9955    0.0020    0.0018    1.3770    0.1110    0.0245 
3217.62     0.0252    82813.3318    12.4014    11.9962    0.0020    0.0018    1.3770    0.1110    0.0243 
