Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |  FUEL  |            SPEED              |
                                | From  |   To  |Initial | Final  |         |       |        |Inicial| Final |Inicial| Final |
                                |   ft  |   ft  |   kg   |   kg   |    nm   |  min  |   kg   | KCAS  | KCAS  |  Mach |  Mach |
                                |       |       |        |        |         |       |        |       |       |       |       |
climb_1                         |      0|   1500|   25300|   25279|        3|    1.2|      21|  170.0|  170.1|  0.257|  0.264|
climb_2                         |   1500|   4000|   25279|   25243|        6|    2.1|      36|  170.1|  170.2|  0.264|  0.277|
climb_3                         |   4000|   7000|   25243|   25197|        9|    2.9|      46|  170.2|  170.4|  0.277|  0.293|
climb_4                         |   7000|  10000|   25197|   25145|       11|    3.4|      52|  170.4|  170.6|  0.293|  0.310|
climb_5                         |  10000|  12000|   25145|   25106|        9|    2.7|      38|  170.6|  170.8|  0.310|  0.322|
climb_6                         |  12000|  14000|   25106|   25063|       11|    3.2|      43|  170.8|  171.0|  0.322|  0.335|
climb_7                         |  14000|  16000|   25063|   25012|       14|    4.0|      51|  171.0|  171.2|  0.335|  0.349|
climb_8                         |  16000|  18000|   25012|   24947|       20|    5.3|      65|  171.2|  171.4|  0.349|  0.364|
climb_9                         |  18000|  19000|   24947|   24908|       13|    3.3|      39|  171.4|  171.5|  0.364|  0.371|
climb_10                        |  19000|  21000|   24908|   24831|       25|    6.7|      78|  168.4|  168.7|  0.365|  0.380|
cruise                          |  21000|  21000|   24831|   24005|      331|   76.5|     825|  189.0|  189.0|  0.425|  0.425|
descent_1                       |  21000|  18000|   24005|   24003|        7|    1.5|       2|  211.4|  221.9|  0.474|  0.468|
descent_2                       |  18000|  10000|   24003|   23997|       18|    4.0|       6|  210.2|  238.0|  0.444|  0.431|
descent_3                       |  10000|     -0|   23997|   23985|       22|    5.0|      12|  224.8|  260.0|  0.407|  0.393|
reserve_climb1                  |     -0|   5000|   23985|   23911|       14|    4.5|      74|  180.0|  167.4|  0.272|  0.277|
reserve_climb2                  |   5000|  10000|   23911|   23830|       18|    5.6|      82|  176.7|  163.8|  0.292|  0.298|
reserve_cruise                  |  10000|  10000|   23830|   23731|       34|    8.4|      99|  209.6|  209.6|  0.380|  0.380|
reserve_loiter                  |  10000|  10000|   23731|   23206|      182|   45.0|     525|  209.6|  209.6|  0.380|  0.380|
reserve_descent_1               |  10000|     -0|   23206|   23187|       34|   12.5|      18|  165.1|  132.3|  0.300|  0.200|


 Total Range (nm) ...........       781
 Total Fuel  (kg) ...........      2113
 Total Time  (hh:mm) ........     03:17


-------------------------------------------
 Thursday, 27. September 2018 10:29:31 AM
