Altitude:    0 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
2156.65     0.0405    84552.9488    11.7371    11.3754    0.0023    0.0018    1.4798    0.1261    0.0393 
2166.94     0.0402    84533.1482    11.7371    11.3764    0.0022    0.0018    1.4798    0.1261    0.0390 
2175.80     0.0399    84516.1939    11.7371    11.3772    0.0022    0.0018    1.4798    0.1261    0.0388 
2184.68     0.0396    84499.2559    11.7371    11.3780    0.0022    0.0018    1.4798    0.1261    0.0385 
2190.62     0.0394    84487.9729    11.7371    11.3786    0.0022    0.0018    1.4798    0.1261    0.0383 
2193.59     0.0394    84482.3341    11.7371    11.3789    0.0022    0.0018    1.4798    0.1261    0.0383 
2198.06     0.0392    84473.8793    11.7371    11.3793    0.0022    0.0018    1.4798    0.1261    0.0381 
2199.55     0.0392    84471.0619    11.7371    11.3794    0.0022    0.0018    1.4798    0.1261    0.0381 
2202.53     0.0391    84465.4285    11.7371    11.3797    0.0022    0.0018    1.4798    0.1261    0.0380 
2205.51     0.0390    84459.7969    11.7371    11.3799    0.0022    0.0018    1.4798    0.1261    0.0379 
2208.50     0.0389    84454.1671    11.7371    11.3802    0.0022    0.0018    1.4798    0.1261    0.0378 
2212.99     0.0388    84445.7258    11.7371    11.3806    0.0022    0.0018    1.4798    0.1261    0.0377 
2217.48     0.0386    84437.2884    11.7371    11.3810    0.0022    0.0018    1.4798    0.1261    0.0376 
2226.50     0.0384    84420.4258    11.7371    11.3818    0.0022    0.0018    1.4798    0.1261    0.0373 
2231.01     0.0383    84412.0005    11.7371    11.3822    0.0022    0.0018    1.4798    0.1261    0.0372 
2243.09     0.0379    84389.5525    11.7371    11.3833    0.0022    0.0018    1.4798    0.1261    0.0368 
2249.14     0.0377    84378.3391    11.7371    11.3838    0.0022    0.0018    1.4798    0.1261    0.0367 
2258.25     0.0375    84361.5324    11.7371    11.3846    0.0021    0.0018    1.4798    0.1261    0.0364 
2265.86     0.0373    84347.5388    11.7371    11.3852    0.0021    0.0018    1.4798    0.1261    0.0362 
2271.97     0.0371    84336.3519    11.7371    11.3858    0.0021    0.0018    1.4798    0.1261    0.0360 
2276.55     0.0370    84327.9663    11.7371    11.3862    0.0021    0.0018    1.4798    0.1261    0.0359 
2282.68     0.0368    84316.7916    11.7371    11.3867    0.0021    0.0018    1.4798    0.1261    0.0358 
2290.35     0.0366    84302.8332    11.7371    11.3873    0.0021    0.0018    1.4798    0.1261    0.0355 
2296.50     0.0364    84291.6742    11.7371    11.3878    0.0021    0.0018    1.4798    0.1261    0.0354 
2307.30     0.0361    84272.1628    11.7371    11.3887    0.0021    0.0018    1.4798    0.1261    0.0351 
2316.59     0.0359    84255.4556    11.7371    11.3895    0.0021    0.0018    1.4798    0.1261    0.0348 
2324.35     0.0357    84241.5449    11.7371    11.3901    0.0021    0.0018    1.4798    0.1261    0.0346 
2333.68     0.0354    84224.8663    11.7371    11.3908    0.0021    0.0018    1.4798    0.1261    0.0344 
2344.61     0.0351    84205.4274    11.7371    11.3917    0.0021    0.0018    1.4798    0.1261    0.0341 
2354.01     0.0349    84188.7823    11.7371    11.3924    0.0021    0.0018    1.4798    0.1261    0.0339 
2374.47     0.0343    84152.7705    11.7371    11.3940    0.0020    0.0018    1.4798    0.1261    0.0334 
2411.01     0.0334    84089.2330    11.7371    11.3968    0.0020    0.0018    1.4798    0.1261    0.0324 
2465.79     0.0321    83995.7146    11.7371    11.4008    0.0020    0.0018    1.4798    0.1261    0.0311 
2503.38     0.0312    83932.7237    11.7371    11.4034    0.0019    0.0018    1.4798    0.1261    0.0302 
2606.89     0.0288    83763.9944    11.7371    11.4101    0.0019    0.0018    1.4798    0.1261    0.0279 
2656.40     0.0277    83685.6002    11.7371    11.4132    0.0018    0.0018    1.4798    0.1261    0.0269 
2678.83     0.0272    83650.5655    11.7371    11.4145    0.0018    0.0018    1.4798    0.1261    0.0264 
2692.70     0.0270    83629.0385    11.7371    11.4153    0.0018    0.0018    1.4798    0.1261    0.0261 
2701.40     0.0268    83615.5967    11.7371    11.4158    0.0018    0.0018    1.4798    0.1261    0.0260 
2710.11     0.0266    83602.1647    11.7371    11.4163    0.0018    0.0018    1.4798    0.1261    0.0258 
2720.61     0.0264    83586.0590    11.7371    11.4169    0.0018    0.0018    1.4798    0.1261    0.0256 
2729.37     0.0262    83572.6483    11.7371    11.4174    0.0018    0.0018    1.4798    0.1261    0.0254 
2736.40     0.0261    83561.9266    11.7371    11.4178    0.0018    0.0018    1.4798    0.1261    0.0253 
2743.44     0.0259    83551.2111    11.7371    11.4182    0.0018    0.0018    1.4798    0.1261    0.0251 
2752.26     0.0257    83537.8253    11.7371    11.4187    0.0018    0.0018    1.4798    0.1261    0.0249 
2757.57     0.0256    83529.7985    11.7371    11.4190    0.0018    0.0018    1.4798    0.1261    0.0248 
2768.20     0.0254    83513.7551    11.7371    11.4196    0.0017    0.0018    1.4798    0.1261    0.0246 
2773.53     0.0253    83505.7386    11.7371    11.4199    0.0017    0.0018    1.4798    0.1261    0.0245 
2780.64     0.0252    83495.0552    11.7371    11.4202    0.0017    0.0018    1.4798    0.1261    0.0244 
2787.77     0.0250    83484.3779    11.7371    11.4206    0.0017    0.0018    1.4798    0.1261    0.0243 
2793.13     0.0249    83476.3739    11.7371    11.4209    0.0017    0.0018    1.4798    0.1261    0.0242 
2798.49     0.0248    83468.3734    11.7371    11.4212    0.0017    0.0018    1.4798    0.1261    0.0240 
3029.48     0.0284    82981.2130    12.3702    12.0207    0.0015    0.0018    1.3818    0.1117    0.0275 
3033.34     0.0284    82977.8628    12.3702    12.0209    0.0015    0.0018    1.3818    0.1117    0.0274 
3037.21     0.0283    82974.5140    12.3702    12.0211    0.0015    0.0018    1.3818    0.1117    0.0274 
3041.07     0.0282    82971.1666    12.3702    12.0213    0.0015    0.0018    1.3818    0.1117    0.0273 
3046.88     0.0281    82966.1484    12.3702    12.0216    0.0015    0.0018    1.3818    0.1117    0.0272 
3050.76     0.0281    82962.8046    12.3702    12.0217    0.0015    0.0018    1.3818    0.1117    0.0271 
3052.70     0.0280    82961.1333    12.3702    12.0218    0.0015    0.0018    1.3818    0.1117    0.0271 
3060.47     0.0279    82954.4516    12.3702    12.0222    0.0015    0.0018    1.3818    0.1117    0.0270 
3066.30     0.0278    82949.4442    12.3702    12.0225    0.0015    0.0018    1.3818    0.1117    0.0269 
3076.05     0.0276    82941.1056    12.3702    12.0230    0.0015    0.0018    1.3818    0.1117    0.0267 
3081.90     0.0275    82936.1067    12.3702    12.0233    0.0015    0.0018    1.3818    0.1117    0.0266 
3087.77     0.0274    82931.1111    12.3702    12.0236    0.0015    0.0018    1.3818    0.1117    0.0265 
3095.60     0.0273    82924.4553    12.3702    12.0240    0.0015    0.0018    1.3818    0.1117    0.0264 
3103.45     0.0271    82917.8052    12.3702    12.0243    0.0015    0.0018    1.3818    0.1117    0.0262 
3113.29     0.0270    82909.5006    12.3702    12.0248    0.0015    0.0018    1.3818    0.1117    0.0261 
3119.20     0.0269    82904.5221    12.3702    12.0251    0.0014    0.0018    1.3818    0.1117    0.0260 
3127.09     0.0267    82897.8891    12.3702    12.0255    0.0014    0.0018    1.3818    0.1117    0.0258 
3135.00     0.0266    82891.2618    12.3702    12.0258    0.0014    0.0018    1.3818    0.1117    0.0257 
3138.96     0.0265    82887.9502    12.3702    12.0260    0.0014    0.0018    1.3818    0.1117    0.0256 
3146.89     0.0264    82881.3314    12.3702    12.0264    0.0014    0.0018    1.3818    0.1117    0.0255 
3158.81     0.0262    82871.4137    12.3702    12.0269    0.0014    0.0018    1.3818    0.1117    0.0253 
3168.78     0.0260    82863.1587    12.3702    12.0274    0.0014    0.0018    1.3818    0.1117    0.0251 
3178.76     0.0259    82854.9124    12.3702    12.0279    0.0014    0.0018    1.3818    0.1117    0.0250 
3189.94     0.0257    82845.7155    12.3702    12.0284    0.0014    0.0018    1.3818    0.1117    0.0248 
3192.78     0.0256    82843.3824    12.3702    12.0285    0.0014    0.0018    1.3818    0.1117    0.0248 
3204.84     0.0254    82833.5132    12.3702    12.0290    0.0014    0.0018    1.3818    0.1117    0.0246 
3214.91     0.0253    82825.2984    12.3702    12.0295    0.0014    0.0018    1.3818    0.1117    0.0244 
3239.17     0.0249    82805.6184    12.3702    12.0306    0.0014    0.0018    1.3818    0.1117    0.0240 
3239.82     0.0249    82805.0972    12.3702    12.0306    0.0014    0.0018    1.3818    0.1117    0.0240 

Altitude: 8000 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
874.47     0.0892    83351.8419    9.5226    9.0522    0.0082    0.0018    1.8223    0.1914    0.0878 
890.58     0.0867    83281.5780    9.5226    9.0618    0.0080    0.0018    1.8223    0.1914    0.0853 
898.37     0.0855    83248.1183    9.5226    9.0663    0.0079    0.0018    1.8223    0.1914    0.0842 
916.29     0.0829    83172.4166    9.5226    9.0762    0.0077    0.0018    1.8223    0.1914    0.0815 
