 SFC   MDOT  POWER THROTTLE 
0.2669  10916.98  0.00  1.0000
0.2670  10878.96  0.00  1.0000
0.2673  10768.04  0.00  1.0000
0.2677  10593.13  0.00  1.0000
0.2683  10367.51  0.00  1.0000
0.2689  10106.97  0.00  1.0000
0.2697  9827.86  0.00  1.0000
0.2705  9545.54  0.00  1.0000
0.2713  9273.26  0.00  1.0000
0.2721  9021.75  0.00  1.0000
0.2729  8799.15  0.00  1.0000
0.2735  8611.28  0.00  1.0000
0.2740  8462.10  0.00  1.0000
0.2744  8354.11  0.00  1.0000
0.2747  8288.82  0.00  1.0000
0.2747  8266.97  0.00  1.0000

0.2918  8575.89  0.00  1.0000
0.2918  8570.31  0.00  1.0000
0.2919  8553.85  0.00  1.0000
0.2920  8527.36  0.00  1.0000
0.2921  8492.17  0.00  1.0000
0.2922  8450.02  0.00  1.0000
0.2924  8402.94  0.00  1.0000
0.2926  8353.13  0.00  1.0000
0.2928  8302.83  0.00  1.0000
0.2929  8254.23  0.00  1.0000
0.2931  8209.38  0.00  1.0000
0.2932  8170.08  0.00  1.0000
0.2934  8137.87  0.00  1.0000
0.2935  8113.97  0.00  1.0000
0.2935  8099.28  0.00  1.0000
0.2935  8094.32  0.00  1.0000

0.3107  8481.45  0.00  1.0000
0.3109  8434.87  0.00  1.0000
0.3114  8300.19  0.00  1.0000
0.3121  8091.45  0.00  1.0000
0.3131  7828.69  0.00  1.0000
0.3143  7534.16  0.00  1.0000
0.3156  7228.97  0.00  1.0000
0.3170  6930.87  0.00  1.0000
0.3183  6653.24  0.00  1.0000
0.3196  6405.22  0.00  1.0000
0.3207  6192.34  0.00  1.0000
0.3217  6017.44  0.00  1.0000
0.3225  5881.63  0.00  1.0000
0.3231  5785.01  0.00  1.0000
0.3234  5727.27  0.00  1.0000
0.3235  5708.07  0.00  1.0000

0.3381  6043.73  0.00  1.0000
0.3382  6024.58  0.00  1.0000
0.3386  5968.91  0.00  1.0000
0.3391  5881.75  0.00  1.0000
0.3397  5770.46  0.00  1.0000
0.3405  5643.59  0.00  1.0000
0.3414  5509.69  0.00  1.0000
0.3422  5376.44  0.00  1.0000
0.3431  5250.12  0.00  1.0000
0.3439  5135.43  0.00  1.0000
0.3446  5035.59  0.00  1.0000
0.3452  4952.61  0.00  1.0000
0.3457  4887.58  0.00  1.0000
0.3461  4841.00  0.00  1.0000
0.3463  4813.04  0.00  1.0000
0.3463  4803.72  0.00  1.0000

0.3463  4803.72  0.00  1.0000
0.3464  4797.29  0.00  1.0000
0.3465  4778.46  0.00  1.0000
0.3468  4748.60  0.00  1.0000
0.3471  4709.78  0.00  1.0000
0.3474  4664.52  0.00  1.0000
0.3478  4615.52  0.00  1.0000
0.3482  4565.43  0.00  1.0000
0.3486  4516.62  0.00  1.0000
0.3490  4471.11  0.00  1.0000
0.3493  4430.49  0.00  1.0000
0.3496  4395.98  0.00  1.0000
0.3499  4368.42  0.00  1.0000
0.3500  4348.39  0.00  1.0000
0.3501  4336.25  0.00  1.0000
0.3502  4332.18  0.00  1.0000

0.3509  3554.24  0.00  0.8177
0.3509  3548.57  0.00  0.8164
0.3509  3531.98  0.00  0.8125
0.3509  3505.58  0.00  0.8065
0.3509  3471.13  0.00  0.7986
0.3509  3430.77  0.00  0.7893
0.3509  3386.84  0.00  0.7792
0.3509  3341.65  0.00  0.7688
0.3509  3297.36  0.00  0.7586
0.3509  3255.81  0.00  0.7490
0.3509  3218.54  0.00  0.7404
0.3509  3186.71  0.00  0.7331
0.3509  3161.20  0.00  0.7273
0.3509  3142.61  0.00  0.7230
0.3509  3131.31  0.00  0.7204
0.3509  3127.53  0.00  0.7195

0.3485  970.22  0.00  0.2258
0.3484  972.59  0.00  0.2259
0.3482  979.66  0.00  0.2264
0.3479  991.26  0.00  0.2273
0.3475  1007.09  0.00  0.2284
0.3470  1026.69  0.00  0.2298
0.3465  1049.42  0.00  0.2315
0.3459  1074.44  0.00  0.2333
0.3453  1100.75  0.00  0.2352
0.3447  1127.18  0.00  0.2372
0.3442  1152.47  0.00  0.2390
0.3437  1175.35  0.00  0.2407
0.3434  1194.62  0.00  0.2421
0.3431  1209.21  0.00  0.2431
0.3429  1218.32  0.00  0.2438
0.3428  1221.41  0.00  0.2440

0.3240  405.66  0.00  0.0874
0.3237  413.16  0.00  0.0884
0.3230  435.88  0.00  0.0914
0.3218  474.33  0.00  0.0962
0.3202  528.98  0.00  0.1027
0.3184  599.80  0.00  0.1106
0.3164  685.86  0.00  0.1194
0.3143  784.96  0.00  0.1286
0.3122  893.55  0.00  0.1377
0.3102  1006.78  0.00  0.1463
0.3085  1118.72  0.00  0.1541
0.3070  1222.83  0.00  0.1607
0.3058  1312.46  0.00  0.1660
0.3050  1381.52  0.00  0.1699
0.3044  1425.11  0.00  0.1722
0.3043  1440.00  0.00  0.1730

0.2711  309.33  0.00  0.0401
0.2710  311.97  0.00  0.0403
0.2706  319.92  0.00  0.0408
0.2700  333.22  0.00  0.0417
0.2693  351.85  0.00  0.0430
0.2684  375.64  0.00  0.0446
0.2674  404.13  0.00  0.0464
0.2663  436.50  0.00  0.0484
0.2653  471.56  0.00  0.0505
0.2644  507.75  0.00  0.0525
0.2635  543.22  0.00  0.0545
0.2627  575.96  0.00  0.0562
0.2621  603.97  0.00  0.0576
0.2617  625.46  0.00  0.0586
0.2614  638.97  0.00  0.0593
0.2613  643.58  0.00  0.0595

